974,Contenuti,Articolo che parla di token e naming system,https://medium.com/sas-software-design/refactoring-token-names-for-seamless-design-system-maintenance-79f222cd57f3,Articolo che affronta il tema del naming system di token e elementi all'interno di un design system complesso.,"design system, token, naming",,
973,Contenuti,Articolo che parla di palette e scale colore,https://uxdesign.cc/how-to-create-a-color-ramp-used-in-design-systems-2edd5b93854c,"Come si può creare una ""color ramp"" ovvero una scala colore nei tuoi progetti di design?","palette, colore, ui ",,
972,Risorse,"Footer, raccolta di footer dal web",https://www.footer.design/,Raccolta di footer di siti web interessanti dal web.,"footer, raccolta",,
971,Canali,Belka Newsletter,https://www.belkadigital.com/newsletter,"Newsletter di Belka, design agency italiana di Trento.","newsletter, design",,
970,Materiali,Workday Canvas Design System,https://canvas.workday.com/,Design system di Workday.,design system,,
969,Risorse,Raccolta di tips per progettare accessibile,https://www.foreveryone.design/,"Raccolta di tips, consigli e materiali informativi su come progettare elementi e touchpoint digitali in modo accessibile.",accessibilità,,
968,Risorse,Website Carbon Calculator,https://www.websitecarbon.com/,Calcolatore di impatto sull'ambiente di prodotto digitali.,"sostenibilità, impatto ambientale",,
967,Contenuti,Articolo che parla di tipografia e consigli di UI,https://uxdesign.cc/8-micro-tips-for-remarkably-better-typography-986c8c4f6d85,8 consigli su come migliorare la tipografia all'interno di un progetto digitale.,"tipografia, ui",,
966,Contenuti,Articolo che parla di design system collaborativo,https://medium.com/eightshapes-llc/picking-parts-products-people-a06721e81742,Articolo e canvas da scaricare per progettare in modo collaborativo un design system da zero.,"design system, canvas",,
965,Materiali,Plugin Figma per Google Meet,https://workspace.google.com/marketplace/app/figma/1035183305161,Plugin di Google Meet (google chrome) per usare Figma mentre sei in call in modo condiviso.,"plugin, figma, google",,
964,Contenuti,Articolo che parla di sitemap e information architecture,https://www.nngroup.com/articles/information-architecture-sitemaps/,Articolo di N/N Group che mette a confronto sitemap e information architecture.,"sitemap, flowcharts, information architecture",,
963,Contenuti,Articolo che parla di illustrazioni e dark mode,https://blog.simonfarshid.com/adapting-illustrations-to-dark-mode,Articolo che affronta il tema della dark mode e di come è possibile gestire il cambio cromatico delle illustrazioni.,"dark mode, illustrations, ui",,
962,Contenuti,Articolo su termini e glossario della UX research,https://www.nngroup.com/articles/research-methods-glossary/,Articolo di N/N Group che raccoglie termini della UX research in un pratico glossario.,"ux research, design",,
961,Risorse,"Rebrand, raccolta di rebranding dal mondo",https://www.rebrand.gallery/,Raccolta di rebrand da tutto il mondo con case study interessanti.,"branding, visual",,
960,Materiali,"UI Ball, raccolta di loader animati",https://uiball.com/,Raccolta di loader animati scaricabili.,"animazioni, motion, loader, ui, download",,
959,Risorse,"Curated.design, raccolta di siti web",https://www.curated.design/,Raccolta di siti web curati e ben fatti.,"website, raccolta",,
958,Materiali,File Figma con UI Kit di Ethereum,https://www.figma.com/file/NrNxGjBL0Yl1PrNrOT8G2B/ethereum.org-Design-System?type=design&node-id=0-1&mode=design&t=ZZckd72bBj9RRQlo-0,File Figma free dove è stato raccolto il design system light di ethereum .,"crypto, design system, figma, ui, uikit",,
957,Materiali,5 font gratuiti super PRO,https://www.instagram.com/p/CwcZES3Lup4/?img_index=8,Post instagram in cui si raccolgono 5 font free particolari per la tua UI.,"font, gratis, free, instagram",,
956,Contenuti,Articolo che parla di metodi per fare brainstorming,https://medium.com/design-bridges/brainstorm-79e51f20f313,Articolo che affronta 3 modi di fare brainstorming in modo perfatto.,"brainstorming, articolo, workshop",,
955,Materiali,Design system in 90 giorni (canvas),https://www.figma.com/community/file/1275210165201477676/%F0%9F%8E%A8-Design-System-in-90-Days-Canvas,Canvas Figma per costruire un design system di una organizzazione in 90 giorni.,"design system, canvas, figma",,
954,Contenuti,Raccolta di articoli e materiali su organization design,https://newwaysofworking.notion.site/newwaysofworking/New-Ways-of-Working-Playbook-dc607e37f7894f4a9be698a6573cb97b,"Raccolta di materiali, articoli e risorse su come gestire la progettazione di una organizzazione.","design, ux, team, organizzazione",,
953,Risorse,Illustration Universe,https://illustrationsuniverse.com/,Raccolta di illustrazioni di famosi brand e applicazioni.,"illustrazione, app, ui",,
952,Risorse,"Tints.dev, tool online per generare scale di colore",https://www.tints.dev/red/EF4444,Tool online che da un codice HEX genera delle scale di colore complete esportabili anche in CSS.,"colori, palette, css",,
951,Libri,Monster list of UX book,https://www.airtable.com/universe/expqM3OWZoJkjl7wy/the-monster-list-of-ux-books?explore=true,Lista Airtable di decine di libri di UX ben organizzati.,"libri, ux, raccolta",,
